,DELVE_kNN,DELVE_k-means,DELVE_RBF,DELVE_GMM
Int_Med_Cdt1_cyto,0.7906861193159342,0.8959748435659424,0.9996128386347658,0.9116837676988074
Int_MeanEdge_S6_cell,0.7909617233632192,0.9170572868842226,0.9998469492522679,0.8563349667348151
Int_Med_p38_cell,0.7910918603378613,0.9322521515177751,0.9997431635589551,0.9035979040145445
Int_Med_CDK4_cell,0.7922295092931174,0.8947204223839696,0.9994003898584242,0.8590912748359983
Int_Med_S6_cyto,0.7929713286696874,0.9273029006964582,0.9995366310437027,0.9042814249199187
Int_Med_S6_ring,0.7929713286696874,0.9273029006964582,0.9995366310437027,0.9042814249199187
Int_MeanEdge_p27_cell,0.7948578625948083,0.9088294964710077,0.9998758443182066,0.8270349553989594
Int_Med_cMyc_cyto,0.7968738486364147,0.9138268815284487,0.999520470318282,0.8954837959016342
Int_Med_cMyc_ring,0.7968738486364147,0.9138268815284487,0.999520470318282,0.8954837959016342
Int_Med_p16_cell,0.798028647889269,0.9179526334393304,0.9998052891773144,0.9303903673683818
Int_Med_cMyc_cell,0.7986075718923905,0.9205589154379988,0.9996095200005565,0.8767137980172371
Int_Med_p27_cell,0.7995054196440831,0.917475600162174,0.9997223010639881,0.8873671944093902
Int_MeanEdge_Cdh1_cell,0.8065172606776733,0.9151711910925657,0.999873640197137,0.8601900143512679
Int_Med_GSK3b_cell,0.8078323230385146,0.9101170203531561,0.999636047836738,0.8944706462032597
Int_Med_YAP_nuc,0.8118801889141968,0.8804136966146858,0.9997960904133574,0.9582719647924551
Int_MeanEdge_pH2AX_cell,0.8118896856520424,0.9028892572543659,0.9998322170588061,0.8620492714080621
Int_Med_Fra1_cell,0.814185125238062,0.92400414731966,0.9998280924989099,0.8945167348426531
Int_Med_Cdh1_cell,0.8142275770668437,0.8953443734335571,0.9996796608969646,0.8842650837193832
Int_Med_pp21_cell,0.814476408195661,0.9042425791463912,0.9995900977744753,0.8765838083945783
Int_MeanEdge_Fra1_cell,0.8161902056713968,0.9162797300742775,0.9998994553605489,0.8268920633074586
Int_Med_p38_ring,0.816830552085567,0.9453092703329518,0.9998351157051611,0.9395967298614417
Int_Med_p38_cyto,0.816830552085567,0.9453092703329518,0.9998351157051611,0.9395967298614417
Int_Med_p16_ring,0.8185792906835934,0.9310025040348628,0.9998496744336979,0.9524701192645294
Int_Med_p16_cyto,0.8185792906835934,0.9310025040348628,0.9998496744336979,0.9524701192645294
Int_Med_PCNA_cell,0.8224510890003349,0.9111532354301966,0.9998822909035555,0.8937988362405604
Int_MeanEdge_p38_cell,0.8241844043875333,0.9449406107522266,0.9998865116499404,0.9126500165754474
Int_MeanEdge_Skp2_cell,0.8245432532837005,0.9113608152331661,0.9998064689837938,0.8738552162764627
Int_Med_CDK4_ring,0.827741668655632,0.9134508043989572,0.9995376512122705,0.9054360458468955
Int_Med_CDK4_cyto,0.827741668655632,0.9134508043989572,0.9995376512122705,0.9054360458468955
Int_MeanEdge_DNA_cell,0.8303324548018094,0.922531540114895,0.9999071198477396,0.8326262644853442
Int_Med_pAKT_cyto,0.8304901856881318,0.9363376438560697,0.9997436083308506,0.9283269428861305
Int_Med_pAKT_ring,0.8304901856881318,0.9363376438560697,0.9997436083308506,0.9283269428861305
Int_Med_pH2AX_cell,0.8306814068357978,0.9294481498574552,0.9996726433266834,0.8867459088968763
Int_Med_pAKT_cell,0.8307040995698978,0.9377233914539758,0.9997917766556653,0.9300222209293574
Int_MeanEdge_GSK3b_cell,0.8329600927995672,0.9215742051721681,0.9998798693611772,0.9087992456813336
Int_MeanEdge_Cdt1_cell,0.8344558581492606,0.9164008539244699,0.9998899893768326,0.8948686980518131
